o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
69891|8906|P|131850.01|1995-03-17|1-URGENT|Clerk#000000975|0|lyly even asymptotes are slyly. ironic dugouts haggle slo|69891|18306|575|2|25.00|30607.50|0.08|0.01|A|F|1995-03-28|1995-04-18|1995-04-25|COLLECT COD|AIR|ons cajole furiously
70439|7594|F|209617.87|1994-11-29|2-HIGH|Clerk#000000175|0|ronic requests. slyly unusual pinto beans affi|70439|6618|387|3|3.00|4573.83|0.02|0.05|R|F|1995-01-06|1995-01-15|1995-01-20|DELIVER IN PERSON|RAIL|ily idly even dependencies. pi
70497|5498|F|254301.07|1995-01-04|2-HIGH|Clerk#000000189|0|aggle along the carefully final asymptotes. instruction|70497|7730|988|2|48.00|78611.04|0.08|0.04|A|F|1995-01-31|1995-02-18|1995-02-19|COLLECT COD|AIR|refully. ironic, unusual packages alo
70724|13210|O|142120.28|1995-09-07|5-LOW|Clerk#000000318|0|gside of the express, final accounts. fluffily special deposits into the|70724|5449|960|3|35.00|47405.40|0.06|0.00|N|O|1995-10-08|1995-10-10|1995-10-26|TAKE BACK RETURN|AIR|ickly ironic platelets. regul
70790|3638|O|8323.38|1995-08-02|3-MEDIUM|Clerk#000000447|0|s haggle quickly among the quickl|70790|6534|535|1|6.00|8643.18|0.10|0.07|N|O|1995-10-05|1995-10-22|1995-10-24|DELIVER IN PERSON|RAIL|he carefully express pinto beans. 
70822|457|F|135121.56|1995-02-09|2-HIGH|Clerk#000000893|0|s are quickly pending, final deposits. deposits int|70822|9346|347|2|45.00|56490.30|0.03|0.00|R|F|1995-03-21|1995-03-24|1995-04-16|TAKE BACK RETURN|RAIL|carefully even packages. carefully unusua
70977|13552|F|228792.00|1994-10-19|1-URGENT|Clerk#000000805|0|kages. excuses boost furiously regular not|70977|9092|611|7|36.00|36039.24|0.06|0.05|A|F|1994-12-05|1994-12-13|1995-01-03|TAKE BACK RETURN|RAIL| thinly unusual accounts. even es
71012|2659|O|148130.83|1995-09-24|4-NOT SPECIFIED|Clerk#000000395|0|ronic deposits run furiously furiously pending instructions. slyly expres|71012|4291|546|5|44.00|52592.76|0.00|0.00|N|O|1995-10-01|1995-10-26|1995-10-29|NONE|AIR|s cajole carefully
71041|5729|O|40024.77|1995-06-13|4-NOT SPECIFIED|Clerk#000000035|0|sits sleep furiously across the ideas. p|71041|3398|399|1|15.00|19520.85|0.05|0.05|N|O|1995-07-22|1995-07-23|1995-08-14|TAKE BACK RETURN|RAIL| the blithely final theodolites kindle 
71841|1336|O|175636.85|1995-06-03|5-LOW|Clerk#000000226|0|ding pinto beans may nag at the even, pen|71841|14537|66|4|6.00|8709.18|0.02|0.03|N|O|1995-07-31|1995-08-19|1995-08-22|COLLECT COD|AIR|ular packages x-ray carefully.
71906|10579|P|194187.60|1995-05-10|1-URGENT|Clerk#000000320|0|s sleep. slyly unusual accounts integrate |71906|12513|514|5|14.00|19957.14|0.05|0.08|N|O|1995-07-28|1995-08-06|1995-08-25|COLLECT COD|RAIL|ely final deposits. slyly even pint
72097|6458|O|105390.34|1995-10-16|2-HIGH|Clerk#000000782|0|s. regular, ironic pinto beans are blithely slyly regular request|72097|7084|599|1|39.00|38652.12|0.09|0.08|N|O|1995-12-30|1996-01-03|1996-01-04|NONE|AIR|y special pinto beans. fluff
72228|3508|F|83064.84|1995-01-06|2-HIGH|Clerk#000000196|0| instructions. furiously|72228|231|232|2|28.00|31674.44|0.05|0.07|R|F|1995-03-14|1995-03-25|1995-04-10|COLLECT COD|RAIL|osits nag above the unusua
72672|9073|P|106924.25|1995-03-22|3-MEDIUM|Clerk#000000985|0|se furiously along the slyly ironic excuses. regula|72672|18440|977|1|6.00|8150.64|0.09|0.06|R|F|1995-04-16|1995-04-22|1995-05-04|DELIVER IN PERSON|RAIL|ermanent frets. slyly 
72995|13466|F|257043.54|1994-10-25|5-LOW|Clerk#000000938|0| haggle quickly even theodolites. furiously unusual accounts wake quic|72995|10148|149|1|11.00|11639.54|0.08|0.08|R|F|1994-12-28|1994-12-29|1995-01-12|DELIVER IN PERSON|AIR|tly final r
73697|4324|F|164907.39|1995-02-14|4-NOT SPECIFIED|Clerk#000000700|0| unusual theodolites. carefully regular accounts could have to cajole. |73697|12431|432|4|25.00|33585.75|0.02|0.03|R|F|1995-03-31|1995-04-02|1995-04-27|NONE|RAIL|ld requests. quickly 
73985|1420|F|37149.41|1995-02-17|5-LOW|Clerk#000000901|0|d dependencies use quickly slyly slow ideas-- dependencies haggle al|73985|15239|240|1|9.00|10388.07|0.09|0.06|A|F|1995-04-16|1995-05-06|1995-05-10|TAKE BACK RETURN|RAIL|xpress patterns haggle. fluffily
74017|1693|P|200635.57|1995-04-01|3-MEDIUM|Clerk#000000516|0|riously pending foxes cajole doggedly reg|74017|2209|714|1|45.00|50004.00|0.04|0.04|A|F|1995-04-15|1995-05-07|1995-05-08|DELIVER IN PERSON|AIR|deposits nag furiously ab
74113|10903|F|192028.21|1994-10-16|4-NOT SPECIFIED|Clerk#000000338|0|es. enticingly regular accoun|74113|3365|872|2|27.00|34245.72|0.04|0.08|A|F|1994-12-18|1995-01-01|1995-01-15|TAKE BACK RETURN|RAIL|press theo
74117|7751|F|211636.45|1995-01-09|3-MEDIUM|Clerk#000000908|0|se slyly. even, special courts cajole doggedly according to the unusual, ir|74117|721|722|2|49.00|79464.28|0.01|0.02|A|F|1995-03-19|1995-04-03|1995-04-17|NONE|RAIL|pecial ideas shall haggle ironically e
74210|979|O|159089.31|1995-06-14|4-NOT SPECIFIED|Clerk#000000108|0|. asymptotes boost furiously alongside of the pending |74210|15777|778|1|6.00|10156.62|0.03|0.03|N|O|1995-08-19|1995-08-20|1995-08-28|COLLECT COD|AIR|ress, ironic excuses wake
74277|5638|F|137914.74|1994-12-07|1-URGENT|Clerk#000000578|0|ccounts believe quickly. unusual dolphins abo|74277|15429|430|5|12.00|16133.04|0.09|0.01|R|F|1995-01-18|1995-01-31|1995-02-07|TAKE BACK RETURN|AIR|express packages affix. slyly pending de
74311|2042|F|272738.46|1994-11-16|2-HIGH|Clerk#000000434|0|uffily final braids. theodolites among the express foxes a|74311|18770|307|5|39.00|65862.03|0.04|0.04|A|F|1994-12-06|1994-12-25|1995-01-02|TAKE BACK RETURN|RAIL|n instructions wake according to the ironic
74438|2569|F|138035.91|1995-04-07|3-MEDIUM|Clerk#000000066|0| the slyly regular deposits. slyly express accoun|74438|15559|90|1|27.00|39812.85|0.04|0.03|A|F|1995-05-19|1995-05-21|1995-06-16|DELIVER IN PERSON|AIR|slyly about the slyly brave acco
74471|2429|O|201347.19|1995-10-16|3-MEDIUM|Clerk#000000617|0|out the ironic accounts. slyly ruthless ideas cajole quickly evenly sl|74471|9162|940|4|16.00|17138.56|0.02|0.03|N|O|1995-12-17|1995-12-19|1995-12-25|NONE|RAIL|nag among the bli
74689|11737|F|225675.76|1994-10-31|5-LOW|Clerk#000000359|0|ts. finally bold dolp|74689|3705|465|1|15.00|24130.50|0.10|0.02|A|F|1995-01-10|1995-01-18|1995-01-19|DELIVER IN PERSON|AIR|odolites. carefu
74979|6125|O|140683.47|1995-09-11|3-MEDIUM|Clerk#000000994|0|final, ironic excuses. quickl|74979|694|195|3|32.00|51030.08|0.09|0.03|N|O|1995-12-08|1995-12-09|1995-12-14|COLLECT COD|AIR|s. slyly even pinto beans nag s
75270|10240|O|133830.84|1995-10-24|5-LOW|Clerk#000000531|0|cial theodolites after the silent acc|75270|14344|137|1|9.00|11325.06|0.06|0.02|N|O|1995-11-20|1995-12-05|1995-12-16|TAKE BACK RETURN|AIR|ages. slyly bold deposits above 
75494|13690|F|209187.11|1994-11-05|2-HIGH|Clerk#000000363|0|ccording to the slyly silent deposi|75494|15222|223|4|3.00|3411.66|0.05|0.07|A|F|1995-01-16|1995-01-27|1995-02-04|DELIVER IN PERSON|RAIL| along the furiously ir
75494|13690|F|209187.11|1994-11-05|2-HIGH|Clerk#000000363|0|ccording to the slyly silent deposi|75494|14015|280|7|8.00|7432.08|0.03|0.01|A|F|1994-12-20|1994-12-29|1995-01-18|COLLECT COD|AIR|eans believe closely expre
75653|3445|P|218614.15|1995-03-30|5-LOW|Clerk#000000872|0| ruthlessly regular p|75653|6692|205|2|50.00|79934.50|0.01|0.06|A|F|1995-05-31|1995-06-04|1995-06-10|NONE|RAIL|fully ironic pains after the 
75653|3445|P|218614.15|1995-03-30|5-LOW|Clerk#000000872|0| ruthlessly regular p|75653|9514|774|3|19.00|27046.69|0.03|0.00|N|O|1995-06-25|1995-06-28|1995-06-30|COLLECT COD|RAIL|oost fluffily against the f
75879|9826|F|301777.34|1994-12-22|5-LOW|Clerk#000000900|0| deposits. blithely regular foxes above the fluffily regular dinos u|75879|19607|415|3|26.00|39691.60|0.01|0.05|A|F|1995-03-07|1995-03-16|1995-03-17|NONE|AIR|s sleep quickly blithely unusual fox
76130|13105|O|168219.98|1995-07-01|2-HIGH|Clerk#000000615|0|s. ruthlessly pending pinto beans about the packages sleep carefully |76130|5845|611|1|47.00|82289.48|0.06|0.04|N|O|1995-09-11|1995-09-16|1995-09-28|TAKE BACK RETURN|AIR| to the slyly bold pinto beans
76130|13105|O|168219.98|1995-07-01|2-HIGH|Clerk#000000615|0|s. ruthlessly pending pinto beans about the packages sleep carefully |76130|12295|296|5|41.00|49498.89|0.01|0.03|N|O|1995-09-17|1995-09-18|1995-10-06|DELIVER IN PERSON|RAIL|accounts. ideas caj
76483|10498|F|86204.66|1995-03-05|1-URGENT|Clerk#000000731|0| deposits wake across the furiously unusual the|76483|16341|342|1|32.00|40234.88|0.07|0.03|A|F|1995-04-18|1995-04-22|1995-05-06|COLLECT COD|RAIL|wake quietl
76583|4118|F|65699.24|1995-05-02|1-URGENT|Clerk#000000631|0|its along the regular ideas haggle quickly furiously regular excuses. packages|76583|10134|915|2|47.00|49074.11|0.09|0.00|R|F|1995-05-30|1995-06-10|1995-06-13|TAKE BACK RETURN|RAIL|ake slyly. slyly 
76672|5032|P|103706.41|1995-05-26|1-URGENT|Clerk#000000061|0|ges after the pending dependencies|76672|7542|800|4|15.00|21743.10|0.04|0.02|N|O|1995-07-25|1995-08-08|1995-08-09|DELIVER IN PERSON|RAIL| haggle ag
76869|5707|F|146438.94|1995-02-01|3-MEDIUM|Clerk#000000207|0|us requests are. regular accounts kindle. fo|76869|2047|300|3|7.00|6643.28|0.08|0.07|R|F|1995-03-14|1995-04-05|1995-04-11|NONE|AIR|e blithely pendin
77063|9655|O|255727.22|1995-07-09|3-MEDIUM|Clerk#000000169|0|cajole against the silent, bold|77063|17829|97|6|50.00|87341.00|0.03|0.08|N|O|1995-09-28|1995-09-29|1995-10-18|TAKE BACK RETURN|AIR|onic, regular warthogs. even, even package
77092|2329|F|152952.31|1995-02-19|1-URGENT|Clerk#000000129|0|ss the blithely special deposi|77092|1572|824|3|28.00|41259.96|0.02|0.03|A|F|1995-04-29|1995-05-05|1995-05-25|COLLECT COD|RAIL|rs run slyly. q
77126|13283|F|150665.05|1995-01-06|2-HIGH|Clerk#000000672|0|ular pinto beans wake furiously about the slyl|77126|2517|770|2|13.00|18453.63|0.10|0.06|R|F|1995-03-01|1995-03-04|1995-03-17|TAKE BACK RETURN|RAIL|e slyly. fluffily final foxes play to the c
77156|12553|O|204859.04|1995-06-27|4-NOT SPECIFIED|Clerk#000000405|0|r theodolites since the carefully regular |77156|17225|226|5|26.00|29697.72|0.06|0.05|N|O|1995-07-27|1995-08-03|1995-08-25|NONE|RAIL|ing to the ironic, final as
77698|14119|F|140171.31|1995-01-31|3-MEDIUM|Clerk#000000385|0|posits. quickly even dep|77698|4195|196|2|13.00|14289.47|0.06|0.05|R|F|1995-03-19|1995-04-02|1995-04-14|DELIVER IN PERSON|AIR| detect fluffily. ironic instruct
77698|14119|F|140171.31|1995-01-31|3-MEDIUM|Clerk#000000385|0|posits. quickly even dep|77698|16596|395|3|9.00|13613.31|0.09|0.08|R|F|1995-03-24|1995-03-27|1995-03-28|DELIVER IN PERSON|RAIL|s boost. regular, regular foxes nag quickly
77700|6958|O|168381.89|1995-07-03|4-NOT SPECIFIED|Clerk#000000236|0| blithely final packages. slyly regular dependencies nag blithely. forges |77700|4552|61|2|7.00|10195.85|0.05|0.00|N|O|1995-08-05|1995-08-14|1995-09-01|COLLECT COD|AIR|ost. packa
77762|9352|F|202413.30|1994-12-15|3-MEDIUM|Clerk#000000646|0|gular instructions haggle blithely. ironic packages against the fluff|77762|19151|959|4|49.00|52437.35|0.06|0.01|R|F|1995-02-21|1995-02-23|1995-02-24|DELIVER IN PERSON|RAIL|ual foxes ca
77824|1963|F|173175.38|1994-10-15|4-NOT SPECIFIED|Clerk#000000409|0|s integrate carefully slyly pend|77824|7391|649|3|41.00|53233.99|0.01|0.06|R|F|1995-01-01|1995-01-08|1995-01-19|DELIVER IN PERSON|AIR|regular theodolites. pending,
77824|1963|F|173175.38|1994-10-15|4-NOT SPECIFIED|Clerk#000000409|0|s integrate carefully slyly pend|77824|8572|831|4|45.00|66625.65|0.07|0.07|A|F|1994-12-25|1994-12-28|1995-01-07|COLLECT COD|AIR|uctions. blithel
77857|1213|F|355704.41|1994-12-20|1-URGENT|Clerk#000000365|0| fluffily brave requests haggle silently req|77857|13904|905|4|17.00|30904.30|0.04|0.05|R|F|1995-02-23|1995-03-11|1995-03-19|DELIVER IN PERSON|RAIL|ironic instructions.
78499|67|F|131839.06|1995-02-22|4-NOT SPECIFIED|Clerk#000000458|0|ronic packages sleep slyly until the even escapades. furiously even p|78499|2968|221|1|30.00|56128.80|0.03|0.06|R|F|1995-04-19|1995-04-22|1995-05-17|DELIVER IN PERSON|RAIL|e carefully. fluffily special requests th
78976|14068|O|201722.95|1995-10-28|4-NOT SPECIFIED|Clerk#000000292|0|pinto beans wake furiously carefully b|78976|19947|217|6|19.00|35471.86|0.04|0.05|N|O|1995-12-07|1995-12-19|1995-12-29|COLLECT COD|RAIL|l instructions boos
78977|10219|F|106270.04|1995-02-09|4-NOT SPECIFIED|Clerk#000000389|0|regular ideas against the s|78977|9234|235|3|30.00|34296.90|0.10|0.08|R|F|1995-04-15|1995-04-19|1995-04-29|TAKE BACK RETURN|RAIL|s maintain. regular deposits w
79456|13910|F|124101.99|1995-02-02|3-MEDIUM|Clerk#000000448|0| furiously final accounts among the |79456|14025|290|1|42.00|39438.84|0.05|0.06|A|F|1995-02-27|1995-03-04|1995-03-10|COLLECT COD|RAIL|phins against the dugouts could have to
80001|2597|F|205545.72|1994-11-09|3-MEDIUM|Clerk#000000224|0|cuses nag slyly. furiousl|80001|2844|349|6|50.00|87342.00|0.01|0.04|A|F|1994-12-16|1995-01-04|1995-01-06|NONE|AIR|sits nag carefully. unusu
80035|4699|P|171981.17|1995-05-28|1-URGENT|Clerk#000000441|0| fluffily even dependencies integra|80035|2563|816|4|31.00|45432.36|0.01|0.02|N|O|1995-07-06|1995-07-09|1995-08-05|TAKE BACK RETURN|RAIL|fily final hockey playe
80037|10039|F|110303.27|1995-01-21|1-URGENT|Clerk#000000804|0|ress foxes. blithely enticing platelets boost quick|80037|5478|989|3|12.00|16601.64|0.07|0.07|A|F|1995-02-26|1995-02-27|1995-03-04|DELIVER IN PERSON|RAIL|ts cajole furiously regular ideas. ca
80678|10334|F|297750.61|1994-10-31|1-URGENT|Clerk#000000544|0|l asymptotes. furious|80678|3305|306|6|32.00|38665.60|0.04|0.05|R|F|1995-01-01|1995-01-02|1995-01-13|NONE|RAIL|ding excuses. ca
80768|3904|O|88309.77|1995-09-22|5-LOW|Clerk#000000147|0|g the furiously regular excuses. carefully sp|80768|4125|888|3|28.00|28815.36|0.08|0.06|N|O|1995-11-17|1995-11-27|1995-12-13|COLLECT COD|RAIL|. fluffily final dolphins cajole. fluffil
80771|305|O|92443.77|1995-06-17|1-URGENT|Clerk#000000987|0|n quickly. furiously regular instruction|80771|3253|254|2|44.00|50875.00|0.05|0.03|N|O|1995-08-20|1995-08-31|1995-09-14|NONE|AIR|bold accounts poach
80864|12233|O|340629.30|1995-08-01|1-URGENT|Clerk#000000723|0| fluffily busy requests. express, regular theodolites b|80864|9207|985|7|42.00|46880.40|0.02|0.00|N|O|1995-10-07|1995-10-19|1995-11-06|NONE|RAIL|cies are above the unusual request
80897|13081|O|229089.75|1995-11-03|5-LOW|Clerk#000000223|0|solve carefully about the ironic accounts|80897|4482|737|6|42.00|58232.16|0.01|0.00|N|O|1995-12-21|1996-01-05|1996-01-19|DELIVER IN PERSON|RAIL|ously even, ironic deposits. quickly r
81058|11773|F|133877.82|1995-01-24|1-URGENT|Clerk#000000457|0| regular accounts. pinto beans boost fluffily along the unu|81058|3270|271|2|10.00|11732.70|0.08|0.05|R|F|1995-04-07|1995-04-13|1995-04-28|NONE|RAIL|special ideas.
81188|2126|F|240791.89|1994-11-07|2-HIGH|Clerk#000000245|0|s about the carefully even asymptotes cajole carefully regular instr|81188|13711|712|3|40.00|64988.40|0.01|0.03|A|F|1994-12-31|1995-01-11|1995-01-16|NONE|AIR| slyly ironic accounts
81441|133|O|55127.68|1995-09-03|1-URGENT|Clerk#000000484|0|nts. quickly blithe pac|81441|12066|853|2|25.00|24451.50|0.07|0.01|N|O|1995-11-24|1995-11-27|1995-12-07|COLLECT COD|AIR|to beans detect ironic, e
81607|7091|F|160364.52|1994-11-24|5-LOW|Clerk#000000406|0|ffily close ideas. enticing, special packages against the blithely pending a|81607|13893|894|2|31.00|56013.59|0.06|0.03|A|F|1995-01-17|1995-02-01|1995-02-11|TAKE BACK RETURN|RAIL|ar packages haggle quickl
81764|5428|F|230161.38|1995-02-15|4-NOT SPECIFIED|Clerk#000000225|0|r accounts according to the even packages try to int|81764|4844|99|5|27.00|47218.68|0.10|0.02|R|F|1995-03-30|1995-04-22|1995-04-29|COLLECT COD|RAIL|ithely pending requests. unusual theo
81826|3880|P|182104.59|1995-05-14|1-URGENT|Clerk#000000583|0|carefully ironic requests cajole slyly carefully ir|81826|19302|841|4|6.00|7327.80|0.01|0.01|N|O|1995-07-22|1995-08-01|1995-08-05|TAKE BACK RETURN|AIR|nal packages doubt blithely ironic, ir
81857|4594|O|112880.33|1995-09-28|5-LOW|Clerk#000000607|0|round the regularly ironic requests. blithe deposits accord|81857|4166|421|2|30.00|32104.80|0.01|0.03|N|O|1995-10-25|1995-11-11|1995-11-22|NONE|RAIL|e the regular instruct
82048|12352|P|237390.15|1995-03-22|2-HIGH|Clerk#000000619|0|out the silent platelets. slyly regular f|82048|1011|765|5|16.00|14592.16|0.10|0.08|R|F|1995-05-21|1995-05-23|1995-06-02|COLLECT COD|AIR|ronic ideas across the bold courts
82051|1936|O|111854.69|1995-10-17|4-NOT SPECIFIED|Clerk#000000423|0|lar theodolites use carefully. instru|82051|5084|340|1|45.00|44508.60|0.00|0.05|N|O|1995-11-23|1995-12-03|1995-12-11|NONE|AIR|tructions haggle 
82147|12709|O|144377.41|1995-09-26|3-MEDIUM|Clerk#000000661|0|ages cajole carefully regular deposits. carefully spe|82147|1520|274|4|6.00|8529.12|0.08|0.03|N|O|1995-11-09|1995-12-05|1995-12-07|NONE|RAIL|dolites? regular requests aft
82432|9839|P|120612.29|1995-03-04|4-NOT SPECIFIED|Clerk#000000227|0|furiously ironic foxes grow blithely again|82432|8265|266|2|16.00|18772.16|0.07|0.06|R|F|1995-05-01|1995-05-06|1995-05-30|DELIVER IN PERSON|AIR|lyly final dugouts wake. even dolphins u
82503|9088|F|145233.37|1994-12-14|4-NOT SPECIFIED|Clerk#000000585|0|ic accounts haggle bli|82503|2828|829|3|36.00|62309.52|0.09|0.03|A|F|1995-01-27|1995-02-01|1995-02-13|TAKE BACK RETURN|RAIL|es detect s
82981|13600|P|108314.51|1995-03-12|4-NOT SPECIFIED|Clerk#000000538|0|ress ideas can wake above the deposits. deposits sl|82981|17461|462|3|12.00|16541.52|0.03|0.05|R|F|1995-05-02|1995-05-12|1995-05-19|DELIVER IN PERSON|RAIL|heodolites haggle furiously. bold 
83008|1813|O|79064.79|1995-08-09|4-NOT SPECIFIED|Clerk#000000295|0|refully. slyly pending instructions nag. carefull|83008|299|300|2|12.00|14391.48|0.06|0.07|N|O|1995-09-15|1995-09-24|1995-10-09|NONE|RAIL|into beans do
83075|5465|O|136723.54|1995-09-25|5-LOW|Clerk#000000239|0|regular deposits wake ironic, final accounts. pending |83075|3511|271|4|5.00|7072.55|0.07|0.07|N|O|1995-11-16|1995-11-19|1995-12-15|TAKE BACK RETURN|AIR|ong the ruthless deposits nag fur
83106|5572|O|41497.06|1995-10-11|5-LOW|Clerk#000000840|0|silent instructions cajole among the slyly |83106|18125|662|1|23.00|23991.76|0.06|0.04|N|O|1995-11-21|1995-12-08|1995-12-15|NONE|RAIL|ithely acc
83267|7783|F|209624.43|1995-02-01|3-MEDIUM|Clerk#000000631|0| packages-- fluffily special accounts |83267|19564|834|3|25.00|37089.00|0.06|0.07|A|F|1995-04-10|1995-04-15|1995-04-29|TAKE BACK RETURN|AIR|deposits among the carefully ironic in
83333|1532|F|250066.37|1995-02-05|5-LOW|Clerk#000000109|0|cial theodolites. carefull|83333|16583|584|5|34.00|50985.72|0.07|0.04|A|F|1995-03-10|1995-03-16|1995-03-24|NONE|AIR|ound the enticingly even ideas
83648|9892|P|180876.04|1995-03-10|5-LOW|Clerk#000000684|0|yly. special accounts sleep. unusual, sile|83648|16609|142|4|46.00|70177.60|0.09|0.01|R|F|1995-05-07|1995-05-28|1995-06-03|TAKE BACK RETURN|AIR|fter the carefully ironic ideas t
84386|11887|P|94315.57|1995-04-30|1-URGENT|Clerk#000000995|0|y quickly final foxes. regular dependencies boost. stealthily ironic |84386|466|717|3|22.00|30062.12|0.00|0.07|N|F|1995-06-10|1995-06-11|1995-06-25|TAKE BACK RETURN|AIR|ndle regul
84550|12662|O|69317.41|1995-09-25|5-LOW|Clerk#000000529|0|al excuses among the fluffily final ideas engage careful|84550|17220|755|1|5.00|5686.10|0.06|0.03|N|O|1995-11-16|1995-11-21|1995-12-10|COLLECT COD|RAIL|ts cajole quickly even waters. carefully r
84614|13999|F|263833.81|1995-01-21|3-MEDIUM|Clerk#000000981|0|ckages. furiously express requests are by the blithely special gifts. b|84614|11500|284|5|23.00|32464.50|0.03|0.06|R|F|1995-03-15|1995-04-07|1995-04-11|COLLECT COD|AIR|ly regular accou
84933|9091|O|179149.61|1995-11-09|2-HIGH|Clerk#000000140|0|e of the slyly dari|84933|2258|15|2|38.00|44089.50|0.02|0.06|N|O|1995-12-09|1995-12-20|1995-12-21|NONE|RAIL|ses wake foxes.
85186|11320|P|227136.27|1995-04-24|4-NOT SPECIFIED|Clerk#000000712|0|ironic excuses. ironic packages cajole even|85186|15829|95|5|32.00|55834.24|0.00|0.05|N|O|1995-06-28|1995-07-03|1995-07-11|DELIVER IN PERSON|AIR|lithely even accounts between the accou
85347|7183|O|139000.97|1995-07-30|3-MEDIUM|Clerk#000000031|0|aggle blithely ironic pinto beans. ir|85347|1199|200|3|8.00|8801.52|0.08|0.01|N|O|1995-08-25|1995-09-09|1995-09-10|TAKE BACK RETURN|AIR|quests boost furiously bra
85572|9941|O|222899.97|1995-09-11|2-HIGH|Clerk#000000317|0| special packages. slyly unusual requests above the |85572|8624|883|3|33.00|50576.46|0.04|0.01|N|O|1995-10-19|1995-10-26|1995-11-17|DELIVER IN PERSON|RAIL|es use according to the braids. blithe
85671|3817|P|222962.32|1995-03-27|3-MEDIUM|Clerk#000000453|0|ly. slyly special multipliers are slyly final request|85671|12509|34|5|20.00|28430.00|0.10|0.07|N|F|1995-06-03|1995-06-04|1995-06-25|NONE|RAIL|s theodolites are. quickl
